"Country or Area","Year","Item","Value"
"Afghanistan","2022","Gross Domestic Product (GDP)","344.649111932514"
"Albania","2022","Gross Domestic Product (GDP)","6655.25839114859"
"Algeria","2022","Gross Domestic Product (GDP)","4273.92218319357"
"Andorra","2022","Gross Domestic Product (GDP)","42293.2970812021"
"Angola","2022","Gross Domestic Product (GDP)","3183.69979557617"
"Anguilla","2022","Gross Domestic Product (GDP)","28561.2850032349"
"Antigua and Barbuda","2022","Gross Domestic Product (GDP)","18880.0288829085"
"Argentina","2022","Gross Domestic Product (GDP)","13867.913268423"
"Armenia","2022","Gross Domestic Product (GDP)","7018.11304549617"
"Aruba","2022","Gross Domestic Product (GDP)","33300.8388206882"
"Australia","2022","Gross Domestic Product (GDP)","67866.7924835733"
"Austria","2022","Gross Domestic Product (GDP)","52608.760636714"
"Azerbaijan","2022","Gross Domestic Product (GDP)","7599.97069180327"
"Bahamas","2022","Gross Domestic Product (GDP)","31458.3542918748"
"Bahrain","2022","Gross Domestic Product (GDP)","30146.5095336219"
"Bangladesh","2022","Gross Domestic Product (GDP)","2527.52126961027"
"Barbados","2022","Gross Domestic Product (GDP)","20238.7842420154"
"Belarus","2022","Gross Domestic Product (GDP)","7642.8108825809"
"Belgium","2022","Gross Domestic Product (GDP)","49986.8325913288"
"Belize","2022","Gross Domestic Product (GDP)","6984.21695922738"
"Benin","2022","Gross Domestic Product (GDP)","1302.85006725361"
"Bermuda","2022","Gross Domestic Product (GDP)","117568.241306245"
"Bhutan","2022","Gross Domestic Product (GDP)","3704.34458105371"
"Bolivia (Plurinational State of)","2022","Gross Domestic Product (GDP)","3600.12163486772"
"Bosnia and Herzegovina","2022","Gross Domestic Product (GDP)","7568.79898040999"
"Botswana","2022","Gross Domestic Product (GDP)","7737.6546802345"
"Brazil","2022","Gross Domestic Product (GDP)","8917.67350862607"
"British Virgin Islands","2022","Gross Domestic Product (GDP)","46996.7499440984"
"Brunei Darussalam","2022","Gross Domestic Product (GDP)","37152.4662383955"
"Bulgaria","2022","Gross Domestic Product (GDP)","13301.923709831"
"Burkina Faso","2022","Gross Domestic Product (GDP)","845.760531496006"
"Burundi","2022","Gross Domestic Product (GDP)","312.874377575316"
"Cabo Verde","2022","Gross Domestic Product (GDP)","3902.58904940059"
"Cambodia","2022","Gross Domestic Product (GDP)","1759.60802353687"
"Cameroon","2022","Gross Domestic Product (GDP)","1588.47872335824"
"Canada","2022","Gross Domestic Product (GDP)","55596.8440190075"
"Cayman Islands","2022","Gross Domestic Product (GDP)","91420.0014847391"
"Central African Republic","2022","Gross Domestic Product (GDP)","429.395860795446"
"Chad","2022","Gross Domestic Product (GDP)","947.854650045931"
"Chile","2022","Gross Domestic Product (GDP)","15338.201465771"
"China (mainland)","2022","Gross Domestic Product (GDP)","12597.8890862959"
"China, Hong Kong SAR","2022","Gross Domestic Product (GDP)","48049.8178036446"
"China, Macao Special Administrative Region","2022","Gross Domestic Product (GDP)","34584.8587365316"
"Colombia","2022","Gross Domestic Product (GDP)","6630.28245160651"
"Comoros","2022","Gross Domestic Product (GDP)","1489.75234103039"
"Congo","2022","Gross Domestic Product (GDP)","2570.13658062978"
"Cook Islands","2022","Gross Domestic Product (GDP)","17033.0754400333"
"Costa Rica","2022","Gross Domestic Product (GDP)","13198.8217168096"
"Côte d'Ivoire","2022","Gross Domestic Product (GDP)","2486.41219393777"
"Croatia","2022","Gross Domestic Product (GDP)","17753.2681484102"
"Cuba","2022","Gross Domestic Product (GDP)","13128.0207681978"
"Curaçao","2022","Gross Domestic Product (GDP)","16086.6947821329"
"Cyprus","2022","Gross Domestic Product (GDP)","32999.3903480109"
"Czechia","2022","Gross Domestic Product (GDP)","27685.1475337609"
"Democratic People's Republic of Korea","2022","Gross Domestic Product (GDP)","590.450099533521"
"Democratic Republic of the Congo","2022","Gross Domestic Product (GDP)","631.770921561275"
"Denmark","2022","Gross Domestic Product (GDP)","68029.4867821587"
"Djibouti","2022","Gross Domestic Product (GDP)","3571.81756713983"
"Dominica","2022","Gross Domestic Product (GDP)","8414.53659276775"
"Dominican Republic","2022","Gross Domestic Product (GDP)","10111.2472391094"
"Ecuador","2022","Gross Domestic Product (GDP)","6391.28248430643"
"Egypt","2022","Gross Domestic Product (GDP)","3687.77826903289"
"El Salvador","2022","Gross Domestic Product (GDP)","5127.32092963945"
"Equatorial Guinea","2022","Gross Domestic Product (GDP)","7025.68975243352"
"Eritrea","2022","Gross Domestic Product (GDP)","646.926451270249"
"Estonia","2022","Gross Domestic Product (GDP)","28693.269639418"
"Ethiopia","2022","Gross Domestic Product (GDP)","964.27322131487"
"Fiji","2022","Gross Domestic Product (GDP)","5356.16442772793"
"Finland","2022","Gross Domestic Product (GDP)","50988.0797840253"
"France","2022","Gross Domestic Product (GDP)","41425.9817191889"
"French Polynesia","2022","Gross Domestic Product (GDP)","18984.8510587464"
"Gabon","2022","Gross Domestic Product (GDP)","8427.09898648081"
"Gambia","2022","Gross Domestic Product (GDP)","824.667149952435"
"Georgia","2022","Gross Domestic Product (GDP)","6571.27283477548"
"Germany","2022","Gross Domestic Product (GDP)","48901.6588277795"
"Ghana","2022","Gross Domestic Product (GDP)","2203.55893522275"
"Greece","2022","Gross Domestic Product (GDP)","20923.0963635451"
"Greenland","2022","Gross Domestic Product (GDP)","51820.8979579343"
"Grenada","2022","Gross Domestic Product (GDP)","9509.2500057576"
"Guatemala","2022","Gross Domestic Product (GDP)","5324.1326606636"
"Guinea","2022","Gross Domestic Product (GDP)","1504.13380691666"
"Guinea-Bissau","2022","Gross Domestic Product (GDP)","747.762696653016"
"Guyana","2022","Gross Domestic Product (GDP)","18199.4748396968"
"Haiti","2022","Gross Domestic Product (GDP)","1618.58242730876"
"Honduras","2022","Gross Domestic Product (GDP)","3040.17307960182"
"Hungary","2022","Gross Domestic Product (GDP)","17791.9089765627"
"Iceland","2022","Gross Domestic Product (GDP)","75260.4052338833"
"India","2022","Gross Domestic Product (GDP)","2445.39024063653"
"Indonesia","2022","Gross Domestic Product (GDP)","4787.99930765134"
"Iran, Islamic Republic of","2022","Gross Domestic Product (GDP)","4495.14698673066"
"Iraq","2022","Gross Domestic Product (GDP)","5937.19547065248"
"Ireland","2022","Gross Domestic Product (GDP)","105993.272773486"
"Israel","2022","Gross Domestic Product (GDP)","58086.357487089"
"Italy","2022","Gross Domestic Product (GDP)","34672.0911410714"
"Jamaica","2022","Gross Domestic Product (GDP)","6047.21655252605"
"Japan","2022","Gross Domestic Product (GDP)","34143.7365460624"
"Jordan","2022","Gross Domestic Product (GDP)","4204.55993916431"
"Kazakhstan","2022","Gross Domestic Product (GDP)","11624.7217329074"
"Kenya","2022","Gross Domestic Product (GDP)","2099.29856841055"
"Kingdom of Eswatini","2022","Gross Domestic Product (GDP)","3600.63649066676"
"Kiribati","2022","Gross Domestic Product (GDP)","1704.39479091748"
"Kosovo","2022","Gross Domestic Product (GDP)","5662.08732309601"
"Kuwait","2022","Gross Domestic Product (GDP)","41079.4832088762"
"Kyrgyzstan","2022","Gross Domestic Product (GDP)","1648.50955701913"
"Lao People's Democratic Republic","2022","Gross Domestic Product (GDP)","2040.3416746601"
"Latvia","2022","Gross Domestic Product (GDP)","22087.5927012692"
"Lebanon","2022","Gross Domestic Product (GDP)","7159.36892577563"
"Lesotho","2022","Gross Domestic Product (GDP)","991.995789703502"
"Liberia","2022","Gross Domestic Product (GDP)","615.764237184926"
"Libya","2022","Gross Domestic Product (GDP)","5950.54619199663"
"Liechtenstein","2022","Gross Domestic Product (GDP)","197267.662394862"
"Lithuania","2022","Gross Domestic Product (GDP)","25773.3297834268"
"Luxembourg","2022","Gross Domestic Product (GDP)","125897.199853324"
"Madagascar","2022","Gross Domestic Product (GDP)","505.035527644772"
"Malawi","2022","Gross Domestic Product (GDP)","615.464513792484"
"Malaysia","2022","Gross Domestic Product (GDP)","11971.9249613147"
"Maldives","2022","Gross Domestic Product (GDP)","11780.8169102396"
"Mali","2022","Gross Domestic Product (GDP)","833.297255211739"
"Malta","2022","Gross Domestic Product (GDP)","33942.3438455372"
"Marshall Islands","2022","Gross Domestic Product (GDP)","6727.79956217374"
"Mauritania","2022","Gross Domestic Product (GDP)","2321.96914241534"
"Mauritius","2022","Gross Domestic Product (GDP)","9925.82900333248"
"Mexico","2022","Gross Domestic Product (GDP)","11476.6788057764"
"Micronesia (Federated States of)","2022","Gross Domestic Product (GDP)","3741.05776777268"
"Monaco","2022","Gross Domestic Product (GDP)","240535.043308975"
"Mongolia","2022","Gross Domestic Product (GDP)","5045.50472196626"
"Montenegro","2022","Gross Domestic Product (GDP)","9934.59329717526"
"Montserrat","2022","Gross Domestic Product (GDP)","16460.8116088754"
"Morocco","2022","Gross Domestic Product (GDP)","3494.91849674673"
"Mozambique","2022","Gross Domestic Product (GDP)","558.298603530773"
"Myanmar","2022","Gross Domestic Product (GDP)","1203.63022038323"
"Namibia","2022","Gross Domestic Product (GDP)","4911.32764990637"
"Nauru","2022","Gross Domestic Product (GDP)","11679.2090197318"
"Nepal","2022","Gross Domestic Product (GDP)","1290.0103011282"
"Netherlands","2022","Gross Domestic Product (GDP)","57391.635599633"
"New Caledonia","2022","Gross Domestic Product (GDP)","33189.5799251907"
"New Zealand","2022","Gross Domestic Product (GDP)","47412.0686105229"
"Nicaragua","2022","Gross Domestic Product (GDP)","2255.42369339021"
"Niger","2022","Gross Domestic Product (GDP)","588.168291941845"
"Nigeria","2022","Gross Domestic Product (GDP)","2173.77085039481"
"Norway","2022","Gross Domestic Product (GDP)","106622.826063444"
"Oman","2022","Gross Domestic Product (GDP)","25056.6925322557"
"Pakistan","2022","Gross Domestic Product (GDP)","1385.75987848635"
"Palau","2022","Gross Domestic Product (GDP)","12498.469842149"
"Panama","2022","Gross Domestic Product (GDP)","17357.6286294842"
"Papua New Guinea","2022","Gross Domestic Product (GDP)","3116.50489146057"
"Paraguay","2022","Gross Domestic Product (GDP)","6153.05567679103"
"Peru","2022","Gross Domestic Product (GDP)","7125.8292350929"
"Philippines","2022","Gross Domestic Product (GDP)","3498.50981598253"
"Poland","2022","Gross Domestic Product (GDP)","17264.784281849"
"Portugal","2022","Gross Domestic Product (GDP)","24812.9039284894"
"Puerto Rico","2022","Gross Domestic Product (GDP)","34877.1848049767"
"Qatar","2022","Gross Domestic Product (GDP)","87974.1660429717"
"Republic of Korea","2022","Gross Domestic Product (GDP)","32305.1306586109"
"Republic of Moldova","2022","Gross Domestic Product (GDP)","4433.39709877528"
"Republic of North Macedonia","2022","Gross Domestic Product (GDP)","6549.23034612335"
"Romania","2022","Gross Domestic Product (GDP)","15295.1034765373"
"Russian Federation","2022","Gross Domestic Product (GDP)","15481.7989888841"
"Rwanda","2022","Gross Domestic Product (GDP)","966.307031554429"
"Saint Kitts and Nevis","2022","Gross Domestic Product (GDP)","20547.2127603189"
"Saint Lucia","2022","Gross Domestic Product (GDP)","12038.4237353997"
"Saint Vincent and the Grenadines","2022","Gross Domestic Product (GDP)","9107.44761269524"
"Samoa","2022","Gross Domestic Product (GDP)","3854.88808844303"
"San Marino","2022","Gross Domestic Product (GDP)","52903.0833533567"
"Sao Tome and Principe","2022","Gross Domestic Product (GDP)","2404.6153556849"
"Saudi Arabia","2022","Gross Domestic Product (GDP)","30436.2783034001"
"Senegal","2022","Gross Domestic Product (GDP)","1604.0184170567"
