label,variable,data
Afghanistan,"Proportion of informal employment, by sector and sex - 13th ICLS",86.43
Albania,"Proportion of informal employment, by sector and sex - 13th ICLS",56.69
Algeria,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
American Samoa,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Andorra,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Angola,"Proportion of informal employment, by sector and sex - 13th ICLS",84.32
Anguilla,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Antarctica,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Antigua and Barbuda,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Argentina,"Proportion of informal employment, by sector and sex - 13th ICLS",48.95
Armenia,"Proportion of informal employment, by sector and sex - 13th ICLS",49.26
Aruba,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Australia,"Proportion of informal employment, by sector and sex - 13th ICLS",25.48
Austria,"Proportion of informal employment, by sector and sex - 13th ICLS",6.04
Azerbaijan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bahamas,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bahrain,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bangladesh,"Proportion of informal employment, by sector and sex - 13th ICLS",94.7
Barbados,"Proportion of informal employment, by sector and sex - 13th ICLS",61.97
Belarus,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Belgium,"Proportion of informal employment, by sector and sex - 13th ICLS",3.25
Belize,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Benin,"Proportion of informal employment, by sector and sex - 13th ICLS",96.87
Bermuda,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bhutan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bolivia (Plurinational State of),"Proportion of informal employment, by sector and sex - 13th ICLS",81.49
"Bonaire, Sint Eustatius and Saba","Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Bosnia and Herzegovina,"Proportion of informal employment, by sector and sex - 13th ICLS",20.68
Botswana,"Proportion of informal employment, by sector and sex - 13th ICLS",74
Bouvet Island,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Brazil,"Proportion of informal employment, by sector and sex - 13th ICLS",39.17
British Virgin Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Brunei Darussalam,"Proportion of informal employment, by sector and sex - 13th ICLS",31.02
Bulgaria,"Proportion of informal employment, by sector and sex - 13th ICLS",6.81
Burkina Faso,"Proportion of informal employment, by sector and sex - 13th ICLS",95.66
Burundi,"Proportion of informal employment, by sector and sex - 13th ICLS",98.31
Cabo Verde,"Proportion of informal employment, by sector and sex - 13th ICLS",63.82
Cambodia,"Proportion of informal employment, by sector and sex - 13th ICLS",89.4
Cameroon,"Proportion of informal employment, by sector and sex - 13th ICLS",87.1
Canada,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Cayman Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Central African Republic,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Chad,"Proportion of informal employment, by sector and sex - 13th ICLS",96.92
Chile,"Proportion of informal employment, by sector and sex - 13th ICLS",27.35
China,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
"China, Hong Kong Special Administrative Region","Proportion of informal employment, by sector and sex - 13th ICLS",N/A
"China, Macao Special Administrative Region","Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Christmas Island,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Cocos (Keeling) Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Colombia,"Proportion of informal employment, by sector and sex - 13th ICLS",63.24
Comoros,"Proportion of informal employment, by sector and sex - 13th ICLS",87.46
Congo,"Proportion of informal employment, by sector and sex - 13th ICLS",85.28
Cook Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",29.17
Costa Rica,"Proportion of informal employment, by sector and sex - 13th ICLS",40.79
Croatia,"Proportion of informal employment, by sector and sex - 13th ICLS",3.43
Cuba,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Curaçao,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Cyprus,"Proportion of informal employment, by sector and sex - 13th ICLS",4.8
Czechia,"Proportion of informal employment, by sector and sex - 13th ICLS",16.76
Côte d’Ivoire,"Proportion of informal employment, by sector and sex - 13th ICLS",91.68
Democratic People's Republic of Korea,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Democratic Republic of the Congo,"Proportion of informal employment, by sector and sex - 13th ICLS",96.76
Denmark,"Proportion of informal employment, by sector and sex - 13th ICLS",7.63
Djibouti,"Proportion of informal employment, by sector and sex - 13th ICLS",50.52
Dominica,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Dominican Republic,"Proportion of informal employment, by sector and sex - 13th ICLS",57.31
Ecuador,"Proportion of informal employment, by sector and sex - 13th ICLS",68.6
Egypt,"Proportion of informal employment, by sector and sex - 13th ICLS",67
El Salvador,"Proportion of informal employment, by sector and sex - 13th ICLS",68.98
Equatorial Guinea,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Eritrea,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Estonia,"Proportion of informal employment, by sector and sex - 13th ICLS",9.13
Eswatini,"Proportion of informal employment, by sector and sex - 13th ICLS",58.79
Ethiopia,"Proportion of informal employment, by sector and sex - 13th ICLS",85.21
Falkland Islands (Malvinas),"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Faroe Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Fiji,"Proportion of informal employment, by sector and sex - 13th ICLS",43.64
Finland,"Proportion of informal employment, by sector and sex - 13th ICLS",6.39
France,"Proportion of informal employment, by sector and sex - 13th ICLS",4.39
French Guiana,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
French Polynesia,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
French Southern Territories,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Gabon,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Gambia,"Proportion of informal employment, by sector and sex - 13th ICLS",79.51
Georgia,"Proportion of informal employment, by sector and sex - 13th ICLS",55.63
Germany,"Proportion of informal employment, by sector and sex - 13th ICLS",3.85
Ghana,"Proportion of informal employment, by sector and sex - 13th ICLS",78.05
Gibraltar,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Greece,"Proportion of informal employment, by sector and sex - 13th ICLS",6.34
Greenland,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Grenada,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Guadeloupe,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Guam,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Guatemala,"Proportion of informal employment, by sector and sex - 13th ICLS",78.99
Guernsey,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Guinea,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Guinea-Bissau,"Proportion of informal employment, by sector and sex - 13th ICLS",94.78
Guyana,"Proportion of informal employment, by sector and sex - 13th ICLS",49.99
Haiti,"Proportion of informal employment, by sector and sex - 13th ICLS",91.61
Heard Island and McDonald Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Holy See,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Honduras,"Proportion of informal employment, by sector and sex - 13th ICLS",82.61
Hungary,"Proportion of informal employment, by sector and sex - 13th ICLS",10.19
Iceland,"Proportion of informal employment, by sector and sex - 13th ICLS",1.36
India,"Proportion of informal employment, by sector and sex - 13th ICLS",88.9
Indonesia,"Proportion of informal employment, by sector and sex - 13th ICLS",80.16
Iran (Islamic Republic of),"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Iraq,"Proportion of informal employment, by sector and sex - 13th ICLS",66.95
Ireland,"Proportion of informal employment, by sector and sex - 13th ICLS",2.07
Isle of Man,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Israel,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Italy,"Proportion of informal employment, by sector and sex - 13th ICLS",11.23
Jamaica,"Proportion of informal employment, by sector and sex - 13th ICLS",57.97
Japan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Jersey,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Jordan,"Proportion of informal employment, by sector and sex - 13th ICLS",51.56
Kazakhstan,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Kenya,"Proportion of informal employment, by sector and sex - 13th ICLS",86.49
Kiribati,"Proportion of informal employment, by sector and sex - 13th ICLS",56.15
Kuwait,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Kyrgyzstan,"Proportion of informal employment, by sector and sex - 13th ICLS",63.22
Lao People's Democratic Republic,"Proportion of informal employment, by sector and sex - 13th ICLS",88.83
Latvia,"Proportion of informal employment, by sector and sex - 13th ICLS",8.43
Lebanon,"Proportion of informal employment, by sector and sex - 13th ICLS",55.45
Lesotho,"Proportion of informal employment, by sector and sex - 13th ICLS",80.85
Liberia,"Proportion of informal employment, by sector and sex - 13th ICLS",89.63
Libya,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Liechtenstein,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Lithuania,"Proportion of informal employment, by sector and sex - 13th ICLS",5.09
Luxembourg,"Proportion of informal employment, by sector and sex - 13th ICLS",10.28
Madagascar,"Proportion of informal employment, by sector and sex - 13th ICLS",95.2
Malawi,"Proportion of informal employment, by sector and sex - 13th ICLS",87.08
Malaysia,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
Maldives,"Proportion of informal employment, by sector and sex - 13th ICLS",48.15
Mali,"Proportion of informal employment, by sector and sex - 13th ICLS",94.03
Malta,"Proportion of informal employment, by sector and sex - 13th ICLS",12.13
Marshall Islands,"Proportion of informal employment, by sector and sex - 13th ICLS",23.7
Martinique,"Proportion of informal employment, by sector and sex - 13th ICLS",N/A
