label,variable,data
Afghanistan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,4.76
Albania,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.72
Algeria,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.07
American Samoa,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Andorra,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Angola,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.27
Anguilla,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Antarctica,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Antigua and Barbuda,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.72
Argentina,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.71
Armenia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,1.4
Aruba,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Australia,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.69
Austria,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Azerbaijan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.54
Bahamas,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.51
Bahrain,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,3.83
Bangladesh,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,7.46
Barbados,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.54
Belarus,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,7.76
Belgium,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.51
Belize,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.53
Benin,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.87
Bermuda,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Bhutan,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Bolivia (Plurinational State of),Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.94
"Bonaire, Sint Eustatius and Saba",Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Bosnia and Herzegovina,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,0.89
Botswana,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.91
Bouvet Island,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
Brazil,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,2.31
British Virgin Islands,Level of national compliance with labour rights based on International Labour Organization textual sources and national legislation,N/A
