label,variable,data
Afghanistan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",62.81
Albania,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",25.82
Algeria,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",20.95
American Samoa,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Andorra,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Angola,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",30.62
Anguilla,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Antarctica,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Antigua and Barbuda,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Argentina,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.12
Armenia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",26.08
Aruba,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",16.56
Australia,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",8.94
Austria,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",12.26
Azerbaijan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Bahamas,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Bahrain,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Bangladesh,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",27.39
Barbados,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",28.99
Belarus,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.73
Belgium,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",7.42
Belize,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",30.25
Benin,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",35.1
Bermuda,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",6.79
Bhutan,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",9.56
Bolivia (Plurinational State of),"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",10.98
"Bonaire, Sint Eustatius and Saba","Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Bosnia and Herzegovina,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",19.3
Botswana,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",37.14
Bouvet Island,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Brazil,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",23.38
British Virgin Islands,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",N/A
Brunei Darussalam,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",18.68
Bulgaria,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",14.02
Burkina Faso,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS [15 to 24 years old]",41
