ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_TOTAL,2021,86.431,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_AGR,2021,99.15,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_NAG,2021,74.367,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_TOTAL,2021,83.038,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_AGR,2021,98.841,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_NAG,2021,71.57,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_TOTAL,2021,97.299,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_AGR,2021,99.746,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_NAG,2021,91.617,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_SECTOR_TOTAL,2021,86.431,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_SECTOR_AGR,2021,99.15,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_SECTOR_IND,2021,88.125,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_SECTOR_SER,2021,62.964,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_SECTOR_X,2021,97.549,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_SECTOR_TOTAL,2021,83.038,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_SECTOR_AGR,2021,98.841,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_SECTOR_IND,2021,85.858,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_SECTOR_SER,2021,62.786,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_SECTOR_X,2021,94.141,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_SECTOR_TOTAL,2021,97.299,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_SECTOR_AGR,2021,99.746,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_SECTOR_IND,2021,96.729,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_SECTOR_SER,2021,66.484,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_SECTOR_X,2021,100,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGGREGATE_TOTAL,2021,86.431,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGGREGATE_AGR,2021,99.15,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGGREGATE_MAN,2021,85.408,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGGREGATE_CON,2021,91.226,,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGGREGATE_MEL,2021,61.428,,,,R1:3513_S3:8
