label,variable,data
Afghanistan,Annual growth rate of real GDP per capita,-22.97
Albania,Annual growth rate of real GDP per capita,9.01
Algeria,Annual growth rate of real GDP per capita,1.7
American Samoa,Annual growth rate of real GDP per capita,N/A
Andorra,Annual growth rate of real GDP per capita,6.46
Angola,Annual growth rate of real GDP per capita,-2.05
Anguilla,Annual growth rate of real GDP per capita,13.25
Antarctica,Annual growth rate of real GDP per capita,N/A
Antigua and Barbuda,Annual growth rate of real GDP per capita,1.14
Argentina,Annual growth rate of real GDP per capita,9.81
Armenia,Annual growth rate of real GDP per capita,6.25
Aruba,Annual growth rate of real GDP per capita,17.23
Australia,Annual growth rate of real GDP per capita,2.61
Austria,Annual growth rate of real GDP per capita,4.39
Azerbaijan,Annual growth rate of real GDP per capita,5.29
Bahamas,Annual growth rate of real GDP per capita,13.32
Bahrain,Annual growth rate of real GDP per capita,3.22
Bangladesh,Annual growth rate of real GDP per capita,5.72
Barbados,Annual growth rate of real GDP per capita,-0.37
Belarus,Annual growth rate of real GDP per capita,2.84
Belgium,Annual growth rate of real GDP per capita,5.68
Belize,Annual growth rate of real GDP per capita,13.74
Benin,Annual growth rate of real GDP per capita,4.24
Bermuda,Annual growth rate of real GDP per capita,3.78
Bhutan,Annual growth rate of real GDP per capita,-3.95
Bolivia (Plurinational State of),Annual growth rate of real GDP per capita,4.85
"Bonaire, Sint Eustatius and Saba",Annual growth rate of real GDP per capita,N/A
Bosnia and Herzegovina,Annual growth rate of real GDP per capita,9.11
Botswana,Annual growth rate of real GDP per capita,9.56
Bouvet Island,Annual growth rate of real GDP per capita,N/A
Brazil,Annual growth rate of real GDP per capita,4.07
British Virgin Islands,Annual growth rate of real GDP per capita,1.21
Brunei Darussalam,Annual growth rate of real GDP per capita,-2.41
Bulgaria,Annual growth rate of real GDP per capita,9.09
Burkina Faso,Annual growth rate of real GDP per capita,4.11
Burundi,Annual growth rate of real GDP per capita,-0.89
Cabo Verde,Annual growth rate of real GDP per capita,5.99
Cambodia,Annual growth rate of real GDP per capita,1.81
Cameroon,Annual growth rate of real GDP per capita,0.95
Canada,Annual growth rate of real GDP per capita,3.81
Cayman Islands,Annual growth rate of real GDP per capita,0.47
Central African Republic,Annual growth rate of real GDP per capita,-1.13
Chad,Annual growth rate of real GDP per capita,-4.19
Chile,Annual growth rate of real GDP per capita,10.56
China,Annual growth rate of real GDP per capita,8.04
"China, Hong Kong Special Administrative Region",Annual growth rate of real GDP per capita,6.43
"China, Macao Special Administrative Region",Annual growth rate of real GDP per capita,16.22
Christmas Island,Annual growth rate of real GDP per capita,N/A
Cocos (Keeling) Islands,Annual growth rate of real GDP per capita,N/A
Colombia,Annual growth rate of real GDP per capita,9.42
Comoros,Annual growth rate of real GDP per capita,0.42
Congo,Annual growth rate of real GDP per capita,-2.84
Cook Islands,Annual growth rate of real GDP per capita,-10.26
Costa Rica,Annual growth rate of real GDP per capita,6.94
Croatia,Annual growth rate of real GDP per capita,14.1
Cuba,Annual growth rate of real GDP per capita,1.65
Curaçao,Annual growth rate of real GDP per capita,3.66
Cyprus,Annual growth rate of real GDP per capita,6.07
Czechia,Annual growth rate of real GDP per capita,3.74
Côte d’Ivoire,Annual growth rate of real GDP per capita,4.43
Democratic People's Republic of Korea,Annual growth rate of real GDP per capita,-0.46
Democratic Republic of the Congo,Annual growth rate of real GDP per capita,2.36
Denmark,Annual growth rate of real GDP per capita,4.34
Djibouti,Annual growth rate of real GDP per capita,4.17
Dominica,Annual growth rate of real GDP per capita,5.92
Dominican Republic,Annual growth rate of real GDP per capita,11.08
Ecuador,Annual growth rate of real GDP per capita,3.01
Egypt,Annual growth rate of real GDP per capita,7.03
El Salvador,Annual growth rate of real GDP per capita,9.89
Equatorial Guinea,Annual growth rate of real GDP per capita,0.14
Eritrea,Annual growth rate of real GDP per capita,0.38
Estonia,Annual growth rate of real GDP per capita,8.07
Eswatini,Annual growth rate of real GDP per capita,6.83
Ethiopia,Annual growth rate of real GDP per capita,2.92
Falkland Islands (Malvinas),Annual growth rate of real GDP per capita,N/A
Faroe Islands,Annual growth rate of real GDP per capita,N/A
Fiji,Annual growth rate of real GDP per capita,-5.54
Finland,Annual growth rate of real GDP per capita,2.85
France,Annual growth rate of real GDP per capita,6.7
French Guiana,Annual growth rate of real GDP per capita,N/A
French Polynesia,Annual growth rate of real GDP per capita,1.71
French Southern Territories,Annual growth rate of real GDP per capita,N/A
Gabon,Annual growth rate of real GDP per capita,-0.6
